fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,include_lowest,CPU_time,Wall_time,dataset_name
0.0023,0.0001,0.0041,0.0001,94.38,9.3,96.52,2.13,KNeighbors,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0026,0.0001,0.002,0.0,95.81,6.34,96.17999999999999,2.26,LinearSVC,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1494,0.0008,0.0098,0.0001,93.05,9.94,100.0,0.0,RandomForest,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0179,0.0004,0.004,0.0001,93.05,9.94,98.96000000000001,0.95,XGB,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0968,0.0005,0.0025,0.0001,95.81,6.34,96.17999999999999,1.9,MLP,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,94.38,9.3,96.17999999999999,2.26,GaussianNB,2,2,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0,0.0043,0.0001,95.81,6.34,96.52,2.13,KNeighbors,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0001,0.002,0.0001,95.81,6.34,96.17999999999999,2.26,LinearSVC,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1493,0.0006,0.0095,0.0005,97.24000000000001,3.7900000000000005,100.0,0.0,RandomForest,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0186,0.0002,0.0042,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0983,0.0004,0.0025,0.0001,95.81,6.34,95.83,1.55,MLP,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,97.14,6.39,97.92,1.44,GaussianNB,3,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.0042,0.0001,97.14,6.39,97.91,1.46,KNeighbors,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.002,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1496,0.0002,0.0097,0.0001,97.24000000000001,3.7900000000000005,100.0,0.0,RandomForest,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0185,0.0001,0.0043,0.0001,93.05,8.75,100.0,0.0,XGB,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0987,0.0003,0.0026,0.0,97.14,6.39,97.22,1.5599999999999998,MLP,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.002,0.0,97.14,6.39,98.61,0.7799999999999999,GaussianNB,4,3,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.0041,0.0001,97.14,6.39,97.91,1.46,KNeighbors,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0001,0.0019,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1489,0.0005,0.0097,0.0,94.38,9.3,100.0,0.0,RandomForest,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0189,0.0003,0.0044,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1002,0.0003,0.0026,0.0,97.14,6.39,98.61,0.7799999999999999,MLP,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.002,0.0,98.57000000000001,3.19,99.65,0.7799999999999999,GaussianNB,5,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.0042,0.0001,97.14,6.39,97.91,1.46,KNeighbors,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0001,0.002,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1491,0.0002,0.0097,0.0,94.38,9.3,100.0,0.0,RandomForest,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0192,0.0003,0.0044,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0994,0.0002,0.0026,0.0,97.14,6.39,98.61,0.7799999999999999,MLP,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0001,0.002,0.0,98.57000000000001,3.19,99.65,0.7799999999999999,GaussianNB,6,4,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0,0.0042,0.0001,97.14,6.39,97.22,1.5599999999999998,KNeighbors,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0026,0.0001,0.002,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1497,0.0003,0.0098,0.0001,94.38,9.3,100.0,0.0,RandomForest,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0198,0.0004,0.0047,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0997,0.0003,0.0026,0.0,97.14,6.39,97.56,1.5599999999999998,MLP,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0,0.002,0.0,98.57000000000001,3.19,98.95,0.96,GaussianNB,7,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0,0.0042,0.0001,94.48,5.92,95.83,0.9900000000000001,KNeighbors,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1491,0.0003,0.0097,0.0001,95.81,6.34,100.0,0.0,RandomForest,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0197,0.0003,0.0046,0.0001,90.29,8.07,100.0,0.0,XGB,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1004,0.0005,0.0025,0.0001,97.14,6.39,98.26,1.24,MLP,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,98.57000000000001,3.19,98.61,0.7799999999999999,GaussianNB,8,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.0042,0.0001,97.14,6.39,97.22,1.5599999999999998,KNeighbors,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0026,0.0001,0.002,0.0,97.14,6.39,100.0,0.0,LinearSVC,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1497,0.0003,0.0097,0.0001,94.38,9.3,100.0,0.0,RandomForest,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0197,0.0003,0.0046,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1006,0.0005,0.0025,0.0001,97.14,6.39,97.22,1.5599999999999998,MLP,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,98.57000000000001,3.19,99.65,0.7799999999999999,GaussianNB,9,5,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0001,0.0042,0.0001,97.14,6.39,97.91,1.46,KNeighbors,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1498,0.0003,0.0098,0.0001,95.81,6.34,100.0,0.0,RandomForest,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0205,0.0002,0.0049,0.0001,91.62,7.870000000000001,100.0,0.0,XGB,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1013,0.0008,0.0025,0.0001,97.14,6.39,98.61,0.7799999999999999,MLP,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,98.57000000000001,3.19,98.96000000000001,0.95,GaussianNB,10,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0024,0.0,0.0043,0.0001,97.14,6.39,97.91,1.46,KNeighbors,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0026,0.0001,0.002,0.0001,97.14,6.39,98.61,0.7799999999999999,LinearSVC,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1498,0.0004,0.0098,0.0001,95.81,6.34,100.0,0.0,RandomForest,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0202,0.0003,0.0048,0.0,91.62,7.870000000000001,100.0,0.0,XGB,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1005,0.0005,0.0025,0.0001,97.14,6.39,98.61,0.7799999999999999,MLP,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.002,0.0,98.57000000000001,3.19,98.96000000000001,0.95,GaussianNB,11,6,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0022,0.0001,0.0041,0.0001,94.57,5.609999999999999,97.22,0.97,KNeighbors,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,97.14,6.39,98.61,0.7799999999999999,LinearSVC,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1485,0.0003,0.0096,0.0,95.81,6.34,100.0,0.0,RandomForest,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0207,0.0004,0.0049,0.0001,90.29,8.07,100.0,0.0,XGB,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1013,0.0004,0.0026,0.0001,97.14,6.39,98.61,0.7799999999999999,MLP,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0022,0.0,0.0019,0.0,95.81,6.34,97.22,1.9900000000000002,GaussianNB,12,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0022,0.0001,0.0039,0.0001,97.14,6.39,97.22,1.5599999999999998,KNeighbors,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,97.14,6.39,100.0,0.0,LinearSVC,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1486,0.0002,0.0097,0.0001,95.81,6.34,100.0,0.0,RandomForest,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0205,0.0002,0.0049,0.0001,90.29,8.07,100.0,0.0,XGB,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1019,0.001,0.0026,0.0001,95.81,6.34,97.56,1.5599999999999998,MLP,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0,0.0019,0.0,98.57000000000001,3.19,98.61,0.7799999999999999,GaussianNB,13,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0023,0.0001,0.0041,0.0001,97.14,6.39,97.22,1.5599999999999998,KNeighbors,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,97.14,6.39,100.0,0.0,LinearSVC,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1482,0.0004,0.0096,0.0,95.81,6.34,100.0,0.0,RandomForest,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0206,0.0004,0.0048,0.0001,90.29,8.07,100.0,0.0,XGB,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1018,0.0004,0.0025,0.0002,95.81,6.34,97.56,1.5599999999999998,MLP,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0022,0.0,0.0019,0.0,98.57000000000001,3.19,98.61,0.7799999999999999,GaussianNB,14,7,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0022,0.0001,0.0039,0.0001,97.24000000000001,3.7900000000000005,96.52,1.7500000000000002,KNeighbors,15,8,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0025,0.0,0.0019,0.0,98.57000000000001,3.19,98.61,0.7799999999999999,LinearSVC,15,8,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.1479,0.0005,0.0095,0.0001,97.14,6.39,100.0,0.0,RandomForest,15,8,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
0.0207,0.0004,0.0048,0.0002,90.29,8.07,100.0,0.0,XGB,15,8,KGroups_max++,Fvalue,False,0:03:02.906150,0:03:04.133099,ALLAML
